mergedTuple,Entry,Bg=1,Slice No.,KE (MeV),v/c,px,py,pz,KE,v/c,px,py,pz
76,0,1,,,,,,,,,,,
76,1,1,,,,,,,,,,,
76,2,,12,"4,316",0.999717904,356.5216585,514.9444654,"4,375",131.5112337,0.480424412,249.0061188,-245.4056534,376.539901
76,3,,9,4921.334397,0.999781781,301.4669679,626.476747,4976.912399,157.0366314,0.515993748,-318.6488629,-397.7506843,243.9641766
76,4,1,,,,,,,,,,,
76,5,,1,"4,971.76",0.99979,-365.14,-485.32,"5,039.21",228.71,0.59,264.08,517.09,379.81
76,6,,3,"5,922.82",0.999848274,440.1574184,-368.7657239,"5,999.49",342.2985454,0.680614617,-399.2861897,590.3580523,501.366407
76,7,1,,,,,,,,,,,
76,8,,6,"3,244.31",0.999508475,-246.4430814,418.8474113,"3,312.20",238.5628446,0.603665799,203.4560281,-572.0041586,368.609569
76,9,,8,"6,228.24",0.999862556,492.2065688,-368.3924417,"6,302.45",236.1520873,0.601497925,131.6798643,540.1994476,435.4699695
76,10,1,,,,,,,,,,,
76,11,,3,"5,468.69",0.99982254,524.1578588,-325.9671595,"5,538.41",188.2799144,0.553528454,-516.5026664,234.7511068,258.4170254
76,12,1,,,,,,,,,,,
76,13,1,,,,,,,,,,,
76,14,,2,6112.102311,0.999857372,-179.6238341,410.8533108,6200.021853,230.4613973,0.596295427,-44.51852665,-536.0838414,442.8207909
76,15,,5,"3,652.10",0.999609404,296.2286246,378.8267017,"3,724.72",177.7121762,0.541472256,-28.00053601,-449.7889423,402.3375915
76,16,,1,4749.979147,0.999766103,-357.3231412,-46.22499699,4840.452555,227.5027171,0.593542118,611.7976871,172.3680634,273.0300797
76,17,1,,,,,,,,,,,
76,18,,4,"3,023.89",0.999436766,-342.9392623,-181.4580609,"3,102.97",122.6022265,0.466723671,267.459628,148.7651749,389.0595752
76,19,,2,"4,397.92",0.999728093,-309.099948,320.7037901,"4,479.60",256.1587727,0.618874109,336.9959833,123.7807665,645.9746152
76,20,,6,"5,229.85",0.999806292,-423.5987586,356.2205162,"5,305.02",192.0689062,0.557707017,237.3218691,-457.7684473,362.4060041
