date,time,LE1,TE1,LE2,TE2,LE3,TE3,LE4,TE4
210622,58159.60966,26,-1,24,-1,34,60,33,-1
210622,58161.10456,6,23,1,20,6,27,12,26
210622,58166.02989,1,21,0,23,9,25,7,29
210622,58192.87048,8,33,9,25,16,35,17,34
210622,58206.94389,21,36,14,38,23,37,27,43
210622,58212.42438,23,58,18,-1,29,57,29,61
210622,58217.89343,10,30,7,26,14,36,17,38
210622,58247.38816,19,56,17,54,25,52,28,45
210622,58250.04435,23,45,21,43,30,45,30,54
210622,58265.69264,29,43,24,47,34,55,29,44
210622,58271.83708,3,22,2,26,9,20,7,30
210622,58278.8474,34,-1,31,-1,41,60,45,63
210622,58287.95008,10,26,7,28,15,30,16,33
210622,58288.53196,16,42,14,33,20,40,25,41
210622,58291.29605,1,26,4,24,10,22,11,30
210622,58305.27529,9,24,4,22,12,28,15,32
210622,58310.51338,22,39,21,37,28,43,29,45
210622,58320.15735,26,45,21,48,34,45,33,51
210622,58326.93073,12,34,10,34,18,36,19,39
210622,58334.23627,18,38,15,36,21,38,20,51
210622,58349.86506,26,49,22,44,30,50,33,51
210622,58361.69957,20,38,18,39,25,39,26,43
210622,58372.19609,9,29,8,32,16,34,16,34
210622,58385.73509,19,40,16,42,24,39,27,44
210622,58389.57893,4,24,0,31,9,25,9,33
210622,58391.25243,30,51,30,52,39,49,38,58
210622,58402.95827,16,40,17,35,24,43,24,43
210622,58406.98596,17,45,13,45,24,40,24,45
210622,58415.02005,26,46,24,47,31,51,33,51
210622,58415.96189,8,26,9,26,16,31,14,36
210622,58418.67697,26,44,21,45,27,60,30,62
210622,58419.75142,25,45,23,45,29,46,33,51
210622,58420.32831,24,56,25,42,29,50,31,56
210622,58429.97562,17,36,14,35,20,40,27,37
210622,58442.85452,32,50,30,53,38,56,37,56
210622,58445.66276,23,43,22,41,28,41,32,49
210622,58452.49599,30,49,28,52,35,53,37,57
210622,58454.74741,4,24,2,26,9,27,11,28
210622,58455.30161,6,22,0,23,7,27,12,28
210622,58462.51405,5,26,3,27,14,26,11,32
210622,58462.53422,10,30,5,41,8,48,12,55
210622,58464.72368,24,52,29,45,34,49,35,52
210622,58481.39138,22,51,23,51,28,53,33,49
210622,58482.50039,16,34,14,36,21,36,23,41
210622,58488.97969,13,31,9,31,16,39,19,38
210622,58492.73773,28,48,23,44,34,48,29,62
210622,58498.87495,23,38,14,43,25,44,27,47
210622,58506.42327,30,47,25,50,34,51,35,56
210622,58519.23831,19,37,15,37,20,44,24,43
210622,58530.06352,8,48,7,55,12,31,17,53
210622,58556.35295,11,44,12,31,20,36,20,44
210622,58561.19972,11,27,4,28,17,29,13,35
210622,58565.27189,14,32,11,34,19,38,20,36
210622,58571.37557,30,48,23,58,36,48,31,57
210622,58572.52837,39,51,30,55,39,61,45,58
210622,58576.23489,23,43,21,45,31,45,31,49
210622,58580.5359,9,28,7,26,14,32,16,36
210622,58581.36909,8,22,4,30,11,30,13,35
210622,58597.43502,16,30,12,42,17,51,18,51
210622,58602.39509,7,26,2,29,11,31,13,34
