mergedTuple,Entry,KE (MeV),px,py,pz,KE,px,py,pz
76,2,4316,356.52,514.94,4375,131.51,249.01,-245.41,376.54
76,3,4921.33,301.47,626.48,4976.91,157.04,-318.65,-397.75,243.96
76,5,4971.76,-365.14,-485.32,5039.21,228.71,264.08,517.09,379.81
76,6,5922.82,440.16,-368.77,5999.49,342.3,-399.29,590.36,501.37
76,8,3244.31,-246.44,418.85,3312.2,238.56,203.46,-572,368.61
76,9,6228.24,492.21,-368.39,6302.45,236.15,131.68,540.2,435.47
76,11,5468.69,524.16,-325.97,5538.41,188.28,-516.5,234.75,258.42
76,15,3652.1,296.23,378.83,3724.72,177.71,-28,-449.79,402.34
76,16,4749.98,-357.32,-46.22,4840.45,227.5,611.8,172.37,273.03
76,18,3023.89,-342.94,-181.46,3102.97,122.6,267.46,148.77,389.06
76,20,5229.85,-423.6,356.22,5305.02,192.07,237.32,-457.77,362.41
76,21,2683.49,177.76,-508.13,2734.02,222.78,298.46,117.87,603.82
76,22,4918.64,59.51,483.02,4998.91,150.81,-178.18,-460.89,247.97
76,27,5064.44,-13.81,454.23,5148.36,154.37,-10.13,-229.05,510.75
76,28,5928.12,509.58,-395.87,5997.6,222.46,25.08,95.48,676.07
76,30,3932.19,358.97,-617.48,3972.12,215.37,-164.29,553.43,342.27
77,0,2390.17,-403.58,-292.52,2442.63,259.77,689.6,195.54,202.55
77,0,2705.76,-419.53,148.09,2773.34,306.66,633.94,-204.15,475.15
77,0,3099.6,-358.87,-342.23,3164.26,299.88,650.55,365.58,309.25
77,0,4495.19,423.88,-441.85,4558.05,170.33,-31.83,382.57,448.53
77,0,4590.94,-340.56,22.88,4682.34,146.25,398.41,160.58,333.53
77,0,3161.92,-403.98,-139.95,3237.12,214.03,558.53,-198.99,309.49
77,0,4929.48,676.93,102.48,4986.6,316.99,-315.91,-494.39,592.4
77,0,1867.03,400.61,201.31,1917.51,300.64,322.19,30.22,741.39
77,0,5741.38,569.92,-325.15,5808.5,294.5,-493.68,-338.58,529.97
77,0,4953.93,-342.11,77.97,5045.65,154.96,492.84,-133.81,232.19
77,0,3173.93,-301.15,61.74,3262.8,222.32,530.75,24.97,429.17
77,0,4004.75,-561.69,350.91,4054.67,167.84,155.11,167.66,539.31
77,0,5074.44,465.33,308.87,5148.17,361.11,143.7,-520.03,718.86
77,0,3222.74,708.36,30.41,3249.64,192.75,-569.64,-25.13,271.34
77,0,4209.92,434.3,437.49,4269.36,227.39,-316.41,-223.81,572.79
77,0,227.39,-316.41,-223.81,572.79,240.03,-122.09,597.49,368.79
77,0,240.03,-122.09,597.49,368.79,370.28,-648.48,-350.76,536.84
77,0,3081.27,348.2,506.74,3124.62,217.34,-239.18,-532.8,337.47
77,0,2688.47,-205.3,-355.4,2761.16,1271.43,-147.12,-254.69,1978.69
77,0,5298.32,541.73,-357.89,5363.14,364.6,-284.26,351.67,782.6
77,0,364.6,-284.26,351.67,782.6,254.53,204.63,653.85,269.99
77,0,3744.82,-271.51,-575.24,3795.45,151.62,214.37,3.86,511.34
77,0,4834.97,-166.3,468.63,4913.76,165.21,-461.06,-161.72,313.85
77,0,6526.69,0.79,-608.39,6602.89,147.36,-129.75,324.11,419.87
77,0,4632.82,-556.66,380.95,4688.38,130.31,-358.48,271.39,243.49
78,0,3685.62,-119.34,-526.3,3750.54,232.44,-284.02,639.57,19.38
78,2,2859.57,453.63,39.67,2927.5,280.8,-673.32,70.7,383.77
